Date,Open,High,Low,Close,Adj Close,Volume,MA_5,MA_10,MA_12,MA_26,MA_20,MA_50,MA_100,Pct_change,Volatility,Day_of_week,RSI,MACD,MACD_signal,Bollinger_mavg,Bollinger_hband,Bollinger_lband,Lag_1,Lag_2,Lag_3,Volume_MA_10,Volume_pct_MA,High_Low_Range,Price_Change_Direction,MACD_Hist,PPO,P/E_Ratio,Volume_Norm,VIX
1999-11-23,8.4375,8.4375,8.4375,8.4375,8.4375,60000,9.5,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,24.444444444444446,14.041255781025809,Tuesday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,8.4375,8.4375,8.4375,649160.0,1.1604227001047507,0.0,0,0.03789802335563128,-2.6960122423260424,11.394440751782273,-0.7804035398518581,10.113294625889344
1999-11-24,8.4375,10.6875,8.4375,10.5,10.5,917700,9.5,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,24.444444444444446,14.041255781025809,Wednesday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,8.4375,8.4375,8.4375,649160.0,1.1604227001047507,2.25,1,0.03789802335563128,-2.6960122423260424,17.741640034153686,3.866981711956319,22.02099641344936
1999-11-26,10.5,10.5,10.5,10.5,10.5,32700,9.5,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,0.0,14.041255781025809,Friday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,10.5,8.4375,8.4375,649160.0,1.1604227001047507,0.0,0,0.03789802335563128,-2.6960122423260424,15.338862713196148,-0.9283266101262702,12.94245696193164
1999-11-29,10.625,10.625,9.25,9.25,9.25,511000,9.5,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,-11.904761904761907,14.041255781025809,Monday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,10.5,10.5,8.4375,649160.0,1.1604227001047507,1.375,0,0.03789802335563128,-2.6960122423260424,12.316433935149755,1.6633072547913597,15.70710801057342
1999-11-30,9.375,9.375,8.5,8.8125,8.8125,2424000,9.5,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,-4.729729729729726,14.041255781025809,Tuesday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,9.25,10.5,10.5,649160.0,1.1604227001047507,0.875,0,0.03789802335563128,-2.6960122423260424,14.765850186341904,12.028759028965363,17.82878266173891
1999-12-01,9.0,10.5,9.0,9.625,9.625,462000,9.7375,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,9.219858156028371,14.041255781025809,Wednesday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,8.8125,9.25,10.5,649160.0,1.1604227001047507,1.5,1,0.03789802335563128,-2.6960122423260424,29.86771915288776,1.3978043081449791,38.4359906056841
1999-12-02,10.0,10.0,9.25,9.375,9.375,799500,9.5125,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,-2.5974025974025983,7.67785469253535,Thursday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,9.625,8.8125,9.25,649160.0,1.1604227001047507,0.75,0,0.03789802335563128,-2.6960122423260424,10.406677351147291,3.226523583515458,22.87053990461096
1999-12-03,9.5,9.625,9.3125,9.4375,9.4375,292300,9.3,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,0.6666666666666599,7.726953516121368,Friday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,9.375,9.625,8.8125,649160.0,1.1604227001047507,0.3125,1,0.03789802335563128,-2.6960122423260424,18.062895978258233,0.47829716435128933,33.42526290935326
1999-12-06,9.375,9.6875,9.1875,9.25,9.25,239100,9.3,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,-1.9867549668874163,5.441706648231158,Monday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,9.4375,9.375,9.625,649160.0,1.1604227001047507,0.5,0,0.03789802335563128,-2.6960122423260424,21.3216469170497,0.19003682227807608,38.75155800205668
1999-12-07,9.1875,9.25,8.875,8.9375,8.9375,753300,9.325,9.4125,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,-3.378378378378377,5.16761594544753,Tuesday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,9.25,9.4375,9.375,649160.0,1.1604227001047507,0.375,0,0.03789802335563128,-2.6960122423260424,10.555673807595152,2.976192233820299,36.433317240551766
1999-12-08,9.0625,9.625,8.9375,9.0,9.0,294100,9.2,9.46875,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,0.6993006993007089,1.893255036570827,Wednesday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,8.9375,9.25,9.4375,672570.0,0.43727790415867496,0.6875,1,0.03789802335563128,-2.6960122423260424,23.480512736914548,0.4880503338199319,31.864877335968586
1999-12-09,9.0,9.0,8.0625,8.375,8.375,801700,9.0,9.25625,9.291666666666666,8.901442307692308,8.85,9.16125,10.610625,-6.944444444444442,3.1846070597123086,Thursday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,9.0,8.9375,9.25,660970.0,1.2129143531476467,0.9375,0,0.03789802335563128,-2.6960122423260424,11.748011237786303,3.238444123977132,31.087964860489233
1999-12-10,8.1875,8.3125,8.0625,8.0625,8.0625,574400,8.725,9.0125,9.260416666666666,8.901442307692308,8.85,9.16125,10.610625,-3.731343283582089,2.7805046950132275,Friday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,8.375,9.0,8.9375,715140.0,0.8031993735492351,0.25,0,0.03789802335563128,-2.6960122423260424,15.460582855776968,2.006835557186881,11.418183746891662
1999-12-13,8.0625,8.125,7.9375,7.9375,7.9375,748300,8.4625,8.88125,9.046875,8.901442307692308,8.85,9.16125,10.610625,-1.5503875968992276,2.829358653272586,Monday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,8.0625,8.375,9.0,738870.0,1.012762732280374,0.1875,0,0.03789802335563128,-2.6960122423260424,12.26329410154229,2.949100096407403,39.53919010405192
1999-12-14,7.9375,8.0,7.8125,7.9375,7.9375,84700,8.2625,8.79375,8.833333333333334,8.901442307692308,8.85,9.16125,10.610625,0.0,3.101096047512647,Tuesday,37.76894439021416,0.1035031630879999,0.18193176423355975,8.85,10.348645221525095,7.351354778474905,7.9375,8.0625,8.375,504940.0,0.16774270210322018,0.1875,0,0.03789802335563128,-2.6960122423260424,12.915520986155313,-0.646568381032152,29.40719298229589
