Date,Open,High,Low,Close,Adj Close,Volume
1984-07-19,1.796296,1.805556,1.777778,1.796296,0.954463,70200
1984-07-20,1.787037,1.805556,1.777778,1.777778,0.944624,52650
1984-07-23,1.768519,1.777778,1.731481,1.731481,0.920024,113400
1984-07-24,1.740741,1.750000,1.722222,1.731481,0.920024,55350
1984-07-25,1.703704,1.731481,1.694444,1.731481,0.920024,116100
1984-07-26,1.750000,1.750000,1.740741,1.750000,0.929864,66150
1984-07-27,1.750000,1.759259,1.731481,1.750000,0.929864,144450
1984-07-30,1.768519,1.768519,1.740741,1.740741,0.924944,135000
1984-07-31,1.740741,1.777778,1.731481,1.777778,0.944624,82350
1984-08-01,1.777778,1.916667,1.777778,1.888889,1.003663,697950
1984-08-02,1.898148,1.898148,1.861111,1.870370,0.993823,2164050
1984-08-03,1.879630,1.962963,1.879630,1.953704,1.038103,783000
1984-08-06,2.000000,2.027778,1.898148,1.953704,1.038103,909900
1984-08-07,1.953704,2.064815,1.935185,2.046296,1.087302,523800
1984-08-08,2.074074,2.129630,2.055556,2.055556,1.092222,1217700
1984-08-09,2.055556,2.101852,2.037037,2.101852,1.116822,402300
1984-08-10,2.111111,2.111111,2.055556,2.055556,1.092222,662850
1984-08-13,2.064815,2.064815,2.009259,2.018519,1.072542,184950
1984-08-14,2.037037,2.037037,1.944444,1.944444,1.033182,224100
1984-08-15,1.962963,2.009259,1.925926,1.944444,1.033182,218700
1984-08-16,1.925926,1.953704,1.925926,1.953704,1.038103,66150
1984-08-17,1.935185,1.944444,1.916667,1.944444,1.033182,86400
1984-08-20,1.925926,1.944444,1.925926,1.944444,1.033182,67500
1984-08-21,1.953704,1.953704,1.888889,1.888889,1.003663,398250
1984-08-22,1.907407,1.944444,1.907407,1.907407,1.013503,535950
1984-08-23,1.925926,1.944444,1.907407,1.935185,1.028262,70200
1984-08-24,1.953704,2.000000,1.944444,1.981481,1.052862,203850
1984-08-27,1.981481,1.981481,1.935185,1.953704,1.038103,386100
1984-08-28,1.972222,1.981481,1.962963,1.962963,1.043023,110700
1984-08-29,1.981481,2.046296,1.981481,1.990741,1.057782,499500
1984-08-30,2.000000,2.000000,1.962963,1.962963,1.043023,129600
1984-08-31,1.972222,1.972222,1.944444,1.962963,1.043023,49950
1984-09-04,1.944444,1.953704,1.925926,1.935185,1.028262,64800
1984-09-05,1.935185,1.935185,1.898148,1.925926,1.023342,537300
1984-09-06,1.935185,1.953704,1.925926,1.935185,1.028262,164700
1984-09-07,1.935185,1.962963,1.935185,1.962963,1.043023,143100
1984-09-10,1.935185,1.944444,1.916667,1.935185,1.036082,199800
1984-09-11,1.925926,1.981481,1.925926,1.972222,1.055912,83700
1984-09-12,1.972222,1.972222,1.916667,1.916667,1.026167,263250
1984-09-13,1.935185,1.953704,1.935185,1.953704,1.045997,89100
1984-09-14,1.953704,2.000000,1.953704,1.962963,1.050955,329400
1984-09-17,1.953704,1.972222,1.953704,1.962963,1.050955,54000
1984-09-18,1.962963,1.990741,1.962963,1.972222,1.055912,330750
1984-09-19,1.990741,2.000000,1.962963,1.972222,1.055912,228150
1984-09-20,1.972222,1.990741,1.972222,1.981481,1.060869,125550
1984-09-21,1.972222,2.037037,1.972222,2.000000,1.070784,305100
1984-09-24,2.000000,2.018519,1.990741,1.990741,1.065826,122850
1984-09-25,2.009259,2.018519,1.990741,2.018519,1.080698,39150
1984-09-26,2.018519,2.027778,1.990741,1.990741,1.065826,102600
1984-09-27,2.018519,2.018519,2.000000,2.000000,1.070784,90450
1984-09-28,1.990741,2.000000,1.981481,1.981481,1.060869,102600
1984-10-01,2.000000,2.000000,1.962963,1.972222,1.055912,238950
1984-10-02,1.972222,1.990741,1.972222,1.972222,1.055912,214650
1984-10-03,1.962963,1.972222,1.925926,1.925926,1.031125,176850
1984-10-04,1.907407,1.907407,1.870370,1.898148,1.016253,191700
1984-10-05,1.879630,1.916667,1.879630,1.907407,1.021210,85050
1984-10-08,1.898148,1.907407,1.879630,1.888889,1.011296,206550
1984-10-09,1.888889,1.888889,1.861111,1.861111,0.996424,76950
1984-10-10,1.861111,1.861111,1.842593,1.842593,0.986509,90450
1984-10-11,1.824074,1.833333,1.805556,1.805556,0.966680,144450
1984-10-12,1.805556,1.842593,1.805556,1.814815,0.971637,102600
1984-10-15,1.805556,1.870370,1.796296,1.870370,1.001381,83700
1984-10-16,1.851852,1.907407,1.814815,1.814815,0.971637,259200
1984-10-17,1.824074,1.833333,1.787037,1.805556,0.966680,139050
1984-10-18,1.805556,1.851852,1.796296,1.851852,0.991467,263250
1984-10-19,1.870370,1.879630,1.814815,1.833333,0.981551,1487700
1984-10-22,1.842593,1.851852,1.750000,1.750000,0.936935,510300
1984-10-23,1.750000,1.824074,1.750000,1.759259,0.941893,683100
1984-10-24,1.777778,1.787037,1.759259,1.787037,0.956765,741150
1984-10-25,1.796296,1.814815,1.787037,1.805556,0.966680,182250
1984-10-26,1.777778,1.787037,1.750000,1.759259,0.941893,256500
1984-10-29,1.759259,1.759259,1.703704,1.712963,0.917106,328050
1984-10-30,1.703704,1.768519,1.685185,1.768519,0.946851,506250
1984-10-31,1.740741,1.750000,1.703704,1.722222,0.922063,174150
1984-11-01,1.712963,1.750000,1.712963,1.731481,0.927020,241650
1984-11-02,1.731481,1.750000,1.703704,1.750000,0.936935,710100
1984-11-05,1.759259,1.768519,1.759259,1.768519,0.946851,475200
1984-11-06,1.768519,1.824074,1.759259,1.814815,0.971637,1296000
1984-11-07,1.805556,1.824074,1.750000,1.759259,0.941893,229500
1984-11-08,1.759259,1.787037,1.759259,1.777778,0.951807,935550
1984-11-09,1.796296,1.805556,1.759259,1.777778,0.951807,287550
1984-11-12,1.777778,1.777778,1.768519,1.768519,0.946851,55350
1984-11-13,1.777778,1.787037,1.750000,1.768519,0.946851,90450
1984-11-14,1.768519,1.787037,1.759259,1.768519,0.946851,194400
1984-11-15,1.750000,1.777778,1.750000,1.768519,0.946851,172800
1984-11-16,1.759259,1.796296,1.750000,1.750000,0.936935,122850
1984-11-19,1.768519,1.777778,1.740741,1.750000,0.936935,145800
1984-11-20,1.768519,1.768519,1.731481,1.750000,0.936935,249750
1984-11-21,1.750000,1.759259,1.666667,1.722222,0.922063,280800
1984-11-23,1.731481,1.777778,1.712963,1.777778,0.951807,186300
1984-11-26,1.796296,1.833333,1.768519,1.787037,0.956765,623700
1984-11-27,1.796296,1.796296,1.759259,1.796296,0.961722,78300
1984-11-28,1.796296,1.805556,1.787037,1.787037,0.956765,206550
1984-11-29,1.777778,1.796296,1.759259,1.787037,0.956765,2816100
1984-11-30,1.777778,1.796296,1.768519,1.796296,0.961722,109350
1984-12-03,1.777778,1.814815,1.777778,1.777778,0.959723,330750
1984-12-04,1.796296,1.814815,1.787037,1.814815,0.979717,886950
1984-12-05,1.814815,1.824074,1.750000,1.768519,0.954725,432000
1984-12-06,1.768519,1.768519,1.750000,1.750000,0.944727,147150
1984-12-07,1.777778,1.787037,1.750000,1.759259,0.949726,205200
1984-12-10,1.768519,1.777778,1.750000,1.759259,0.949726,302400
1984-12-11,1.777778,1.814815,1.777778,1.796296,0.969719,421200
1984-12-12,1.796296,1.814815,1.750000,1.750000,0.944727,110700
1984-12-13,1.759259,1.777778,1.750000,1.759259,0.949726,233550
1984-12-14,1.768519,1.777778,1.750000,1.777778,0.959723,151200
1984-12-17,1.759259,1.777778,1.750000,1.750000,0.944727,211950
1984-12-18,1.777778,1.870370,1.759259,1.870370,1.009709,662850
1984-12-19,1.861111,1.870370,1.842593,1.861111,1.004710,241650
1984-12-20,1.879630,1.879630,1.842593,1.851852,0.999712,206550
1984-12-21,1.833333,1.833333,1.777778,1.796296,0.969719,230850
1984-12-24,1.814815,1.833333,1.796296,1.824074,0.984716,136350
1984-12-26,1.814815,1.842593,1.814815,1.842593,0.994713,190350
1984-12-27,1.842593,1.842593,1.824074,1.842593,0.994713,483300
1984-12-28,1.842593,1.842593,1.805556,1.805556,0.974719,109350
1984-12-31,1.805556,1.814815,1.796296,1.814815,0.979717,207900
1985-01-02,1.814815,1.814815,1.768519,1.777778,0.959723,178200
1985-01-03,1.777778,1.796296,1.768519,1.796296,0.969719,207900
1985-01-04,1.796296,1.796296,1.768519,1.796296,0.969719,112050
1985-01-07,1.796296,1.814815,1.768519,1.805556,0.974719,184950
1985-01-08,1.805556,1.814815,1.796296,1.814815,0.979717,1471500
1985-01-09,1.814815,1.842593,1.814815,1.824074,0.984716,1171800
1985-01-10,1.824074,1.925926,1.814815,1.925926,1.039700,804600
1985-01-11,1.916667,1.953704,1.916667,1.935185,1.044698,311850
1985-01-14,1.925926,2.027778,1.925926,2.009259,1.084687,594000
1985-01-15,2.009259,2.018519,1.972222,1.972222,1.064692,594000
1985-01-16,1.990741,2.212963,1.990741,2.018519,1.089686,518400
1985-01-17,2.018519,2.074074,2.009259,2.055556,1.109680,468450
1985-01-18,2.055556,2.055556,1.990741,2.018519,1.089686,190350
1985-01-21,2.000000,2.009259,1.981481,2.009259,1.084687,556200
1985-01-22,2.027778,2.046296,2.009259,2.046296,1.104681,337500
1985-01-23,2.046296,2.074074,2.037037,2.055556,1.109680,452250
1985-01-24,2.129630,2.166667,2.111111,2.120370,1.144670,931500
1985-01-25,2.138889,2.157407,2.120370,2.157407,1.164663,787050
1985-01-28,2.157407,2.157407,2.129630,2.138889,1.154667,283500
1985-01-29,2.129630,2.129630,2.101852,2.120370,1.144670,199800
1985-01-30,2.120370,2.185185,2.120370,2.129630,1.149669,625050
1985-01-31,2.120370,2.120370,2.092593,2.111111,1.139671,97200
1985-02-01,2.111111,2.111111,2.055556,2.074074,1.119676,244350
1985-02-04,2.092593,2.092593,2.064815,2.083333,1.124675,531900
1985-02-05,2.074074,2.101852,2.046296,2.083333,1.124675,1116450
1985-02-06,2.074074,2.101852,2.046296,2.074074,1.119676,423900
1985-02-07,2.074074,2.138889,2.074074,2.138889,1.154667,464400
1985-02-08,2.138889,2.157407,2.129630,2.148148,1.159666,454950
1985-02-11,2.148148,2.157407,2.101852,2.111111,1.139671,573750
1985-02-12,2.111111,2.111111,2.064815,2.074074,1.119676,298350
1985-02-13,2.074074,2.111111,2.074074,2.101852,1.134673,415800
1985-02-14,2.101852,2.111111,2.074074,2.074074,1.119676,187650
1985-02-15,2.074074,2.083333,2.074074,2.074074,1.119676,268650
1985-02-19,2.074074,2.083333,2.074074,2.074074,1.119676,137700
1985-02-20,2.074074,2.083333,2.055556,2.055556,1.109680,264600
1985-02-21,2.074074,2.074074,2.055556,2.055556,1.109680,132300
1985-02-22,2.074074,2.083333,2.055556,2.055556,1.109680,270000
1985-02-25,2.074074,2.074074,2.046296,2.055556,1.109680,238950
1985-02-26,2.055556,2.101852,2.046296,2.074074,1.119676,237600
1985-02-27,2.083333,2.120370,2.074074,2.092593,1.129675,369900
1985-02-28,2.092593,2.111111,2.092593,2.111111,1.139671,72900
1985-03-01,2.092593,2.092593,2.074074,2.074074,1.119676,175500
1985-03-04,2.074074,2.083333,2.064815,2.064815,1.114679,43200
1985-03-05,2.064815,2.120370,2.055556,2.111111,1.139671,283500
1985-03-06,2.111111,2.111111,2.074074,2.074074,1.119676,873450
1985-03-07,2.074074,2.092593,2.064815,2.092593,1.129675,468450
1985-03-08,2.074074,2.092593,2.027778,2.055556,1.109680,356400
1985-03-11,2.018519,2.037037,2.000000,2.009259,1.092561,194400
1985-03-12,1.990741,1.990741,1.972222,1.972222,1.072422,184950
1985-03-13,1.953704,1.962963,1.870370,1.888889,1.027109,373950
1985-03-14,1.879630,1.962963,1.879630,1.944444,1.057317,326700
1985-03-15,1.953704,1.981481,1.944444,1.972222,1.072422,58050
1985-03-18,1.962963,1.990741,1.916667,1.935185,1.052282,97200
1985-03-19,1.916667,1.990741,1.888889,1.990741,1.082491,302400
1985-03-20,1.962963,1.981481,1.898148,1.972222,1.072422,317250
1985-03-21,1.990741,2.009259,1.972222,2.009259,1.092561,141750
1985-03-22,2.018519,2.018519,1.953704,1.972222,1.072422,1212300
1985-03-25,1.972222,2.000000,1.962963,1.981481,1.077457,244350
1985-03-26,1.962963,1.981481,1.944444,1.944444,1.057317,67500
1985-03-27,1.925926,1.981481,1.925926,1.962963,1.067387,106650
1985-03-28,1.962963,2.000000,1.944444,1.944444,1.057317,209250
1985-03-29,1.944444,1.981481,1.925926,1.962963,1.067387,781650
1985-04-01,1.944444,1.962963,1.944444,1.962963,1.067387,321300
1985-04-02,1.981481,1.990741,1.962963,1.981481,1.077457,110700
1985-04-03,1.981481,1.981481,1.962963,1.981481,1.077457,113400
1985-04-04,1.981481,1.990741,1.962963,1.972222,1.072422,213300
1985-04-08,1.962963,1.981481,1.962963,1.962963,1.067387,164700
1985-04-09,1.962963,1.990741,1.962963,1.990741,1.082491,98550
1985-04-10,2.000000,2.000000,1.981481,1.990741,1.082491,49950
1985-04-11,1.981481,2.000000,1.981481,1.981481,1.077457,113400
1985-04-12,1.962963,1.981481,1.962963,1.962963,1.067387,513000
1985-04-15,1.953704,1.962963,1.944444,1.944444,1.057317,182250
1985-04-16,1.962963,1.962963,1.944444,1.944444,1.057317,113400
1985-04-17,1.935185,2.018519,1.935185,2.009259,1.092561,510300
1985-04-18,2.000000,2.009259,1.981481,1.990741,1.082491,178200
1985-04-19,1.972222,2.009259,1.944444,1.953704,1.062352,483300
1985-04-22,1.953704,1.962963,1.935185,1.953704,1.062352,854550
1985-04-23,1.953704,1.962963,1.925926,1.962963,1.067387,625050
1985-04-24,1.944444,1.944444,1.916667,1.916667,1.042213,103950
1985-04-25,1.907407,1.916667,1.861111,1.879630,1.022074,120150
1985-04-26,1.870370,1.888889,1.851852,1.861111,1.012004,502200
1985-04-29,1.851852,1.851852,1.842593,1.851852,1.006970,523800
1985-04-30,1.851852,1.879630,1.851852,1.870370,1.017038,310500
1985-05-01,1.861111,1.888889,1.851852,1.870370,1.017038,251100
1985-05-02,1.888889,1.888889,1.861111,1.870370,1.017038,183600
1985-05-03,1.870370,1.870370,1.833333,1.851852,1.006970,171450
1985-05-06,1.842593,1.861111,1.833333,1.833333,0.996899,174150
1985-05-07,1.851852,1.861111,1.842593,1.842593,1.001934,102600
1985-05-08,1.851852,1.851852,1.814815,1.833333,0.996899,190350
1985-05-09,1.824074,1.842593,1.814815,1.833333,0.996899,301050
1985-05-10,1.851852,1.888889,1.851852,1.888889,1.027109,295650
1985-05-13,1.879630,1.898148,1.861111,1.870370,1.017038,525150
1985-05-14,1.879630,1.879630,1.851852,1.861111,1.012004,461700
1985-05-15,1.851852,1.907407,1.851852,1.898148,1.032143,168750
1985-05-16,1.898148,1.944444,1.870370,1.944444,1.057317,418500
1985-05-17,1.953704,1.962963,1.925926,1.962963,1.067387,546750
1985-05-20,1.972222,1.981481,1.935185,1.935185,1.052282,553500
1985-05-21,1.935185,1.962963,1.935185,1.953704,1.062352,183600
1985-05-22,1.944444,1.944444,1.916667,1.916667,1.042213,214650
1985-05-23,1.925926,1.935185,1.916667,1.916667,1.042213,74250
1985-05-24,1.916667,1.935185,1.916667,1.916667,1.042213,64800
1985-05-28,1.916667,1.925926,1.907407,1.907407,1.037178,168750
1985-05-29,1.907407,1.925926,1.907407,1.907407,1.037178,375300
1985-05-30,1.907407,1.935185,1.907407,1.916667,1.042213,461700
1985-05-31,1.907407,1.925926,1.907407,1.925926,1.047248,328050
1985-06-03,1.925926,1.925926,1.898148,1.916667,1.042213,326700
1985-06-04,1.907407,1.944444,1.907407,1.935185,1.052282,86400
1985-06-05,1.953704,1.962963,1.935185,1.944444,1.057317,290250
1985-06-06,1.953704,1.953704,1.935185,1.944444,1.057317,121500
1985-06-07,1.925926,1.925926,1.842593,1.861111,1.012004,699300
1985-06-10,1.833333,1.861111,1.814815,1.833333,1.004898,545400
1985-06-11,1.833333,1.861111,1.824074,1.824074,0.999824,276750
1985-06-12,1.814815,1.842593,1.787037,1.796296,0.984597,378000
1985-06-13,1.805556,1.814815,1.740741,1.759259,0.964296,344250
1985-06-14,1.759259,1.796296,1.759259,1.787037,0.979523,317250
1985-06-17,1.777778,1.787037,1.759259,1.759259,0.964296,477900
1985-06-18,1.759259,1.777778,1.740741,1.768519,0.969372,363150
1985-06-19,1.768519,1.768519,1.703704,1.722222,0.943995,400950
1985-06-20,1.722222,1.722222,1.694444,1.712963,0.938920,562950
1985-06-21,1.712963,1.787037,1.703704,1.750000,0.959222,1289250
1985-06-24,1.759259,1.842593,1.750000,1.824074,0.999824,321300
1985-06-25,1.824074,1.870370,1.824074,1.851852,1.015050,658800
1985-06-26,1.842593,1.851852,1.833333,1.833333,1.004898,321300
1985-06-27,1.814815,1.833333,1.787037,1.814815,0.994748,171450
1985-06-28,1.814815,1.814815,1.777778,1.796296,0.984597,249750
1985-07-01,1.805556,1.888889,1.805556,1.888889,1.035350,216000
1985-07-02,1.888889,1.888889,1.824074,1.851852,1.015050,513000
1985-07-03,1.851852,1.851852,1.814815,1.842593,1.009974,153900
1985-07-05,1.851852,1.851852,1.842593,1.842593,1.009974,170100
1985-07-08,1.842593,1.842593,1.805556,1.824074,0.999824,125550
1985-07-09,1.824074,1.833333,1.814815,1.824074,0.999824,287550
1985-07-10,1.824074,1.851852,1.824074,1.851852,1.015050,384750
1985-07-11,1.833333,1.870370,1.833333,1.851852,1.015050,413100
1985-07-12,1.861111,1.907407,1.861111,1.898148,1.040426,237600
1985-07-15,1.907407,1.916667,1.898148,1.907407,1.045501,206550
1985-07-16,1.907407,1.916667,1.898148,1.916667,1.050576,352350
1985-07-17,1.925926,1.944444,1.916667,1.916667,1.050576,865350
1985-07-18,1.916667,1.916667,1.861111,1.861111,1.020124,261900
1985-07-19,1.861111,1.916667,1.851852,1.916667,1.050576,1109700
1985-07-22,1.898148,1.916667,1.888889,1.888889,1.035350,373950
1985-07-23,1.888889,1.907407,1.888889,1.888889,1.035350,206550
1985-07-24,1.879630,1.888889,1.833333,1.833333,1.004898,549450
1985-07-25,1.851852,1.870370,1.842593,1.861111,1.020124,321300
1985-07-26,1.842593,1.851852,1.814815,1.814815,0.994748,762750
1985-07-29,1.805556,1.814815,1.759259,1.768519,0.969372,288900
