Date,Open,High,Low,Close,Adj Close,Volume
1979-05-15,3.559404,3.607504,3.511304,3.559404,1.880381,22349
1979-05-16,3.583454,3.823954,3.583454,3.799904,2.007432,66008
1979-05-17,3.799904,3.848004,3.799904,3.848004,2.032845,57692
1979-05-18,3.848004,3.992304,3.848004,3.968254,2.096370,119023
1979-05-21,3.968254,4.064454,3.920154,4.040404,2.134485,106549
1979-05-22,4.040404,4.136604,4.040404,4.088504,2.159896,127339
1979-05-23,4.088504,4.088504,3.968254,3.968254,2.096370,85759
1979-05-24,3.968254,3.992304,3.872054,3.920154,2.070960,80561
1979-05-25,3.920154,3.992304,3.872054,3.968254,2.096370,63410
1979-05-29,3.968254,4.184704,3.968254,4.112554,2.172601,123181
1979-05-30,4.184704,4.377104,4.184704,4.353054,2.299654,113825
1979-05-31,4.329004,4.329004,4.256854,4.329004,2.286949,80561
1979-06-01,4.329004,4.377104,4.329004,4.329004,2.286949,103430
1979-06-04,4.329004,4.449254,4.329004,4.425204,2.337770,71206
1979-06-05,4.449254,4.641655,4.449254,4.569505,2.414004,136175
1979-06-06,4.617605,4.761905,4.617605,4.665705,2.464821,148129
1979-06-07,4.665705,4.737855,4.641655,4.641655,2.452118,141892
1979-06-08,4.641655,4.713805,4.521405,4.593555,2.426708,53534
1979-06-11,4.593555,4.641655,4.521405,4.617605,2.439413,48857
1979-06-12,4.617605,4.641655,4.569505,4.593555,2.426708,48337
1979-06-13,4.593555,4.617605,4.425204,4.473304,2.363181,75884
1979-06-14,4.473304,4.545455,4.377104,4.473304,2.363181,58732
1979-06-15,4.521405,4.689755,4.521405,4.617605,2.439413,107069
1979-06-18,4.617605,4.617605,4.521405,4.569505,2.414004,34823
1979-06-19,4.569505,4.617605,4.521405,4.617605,2.439413,113825
1979-06-20,4.617605,4.689755,4.617605,4.641655,2.452118,152287
1979-06-21,4.641655,4.641655,4.545455,4.593555,2.426708,389293
1979-06-22,4.593555,4.593555,4.497354,4.569505,2.414004,70166
1979-06-25,4.569505,4.569505,4.280904,4.377104,2.312358,73805
1979-06-26,4.377104,4.473304,4.353054,4.401154,2.325064,77443
1979-06-27,4.401154,4.521405,4.401154,4.449254,2.350476,124220
1979-06-28,4.449254,4.497354,4.353054,4.401154,2.325064,63410
1979-06-29,4.401154,4.521405,4.401154,4.521405,2.388593,135655
1979-07-02,4.521405,4.545455,4.425204,4.425204,2.337770,40541
1979-07-03,4.425204,4.497354,4.425204,4.497354,2.375886,45218
1979-07-05,4.497354,4.497354,4.425204,4.497354,2.375886,18191
1979-07-06,4.497354,4.569505,4.473304,4.521405,2.388593,98753
1979-07-09,4.593555,5.074555,4.593555,5.074555,2.680815,223493
1979-07-10,5.074555,5.098605,4.834055,4.906205,2.591877,168919
1979-07-11,4.906205,4.906205,4.785955,4.810005,2.541055,173077
1979-07-12,4.810005,4.858105,4.761905,4.785955,2.528350,85759
1979-07-13,4.737855,4.737855,4.569505,4.617605,2.439413,89917
1979-07-16,4.617605,4.665705,4.545455,4.665705,2.464821,26507
1979-07-17,4.665705,4.665705,4.449254,4.449254,2.350476,58732
1979-07-18,4.401154,4.401154,4.256854,4.377104,2.312358,82121
1979-07-19,4.377104,4.497354,4.304954,4.425204,2.337770,34823
1979-07-20,4.425204,4.425204,4.353054,4.353054,2.299654,20270
1979-07-23,4.353054,4.473304,4.353054,4.401154,2.325064,48337
1979-07-24,4.449254,4.521405,4.449254,4.521405,2.388593,24428
1979-07-25,4.521405,4.593555,4.521405,4.545455,2.401297,23909
1979-07-26,4.545455,4.569505,4.521405,4.521405,2.388593,22349
1979-07-27,4.521405,4.569505,4.497354,4.497354,2.375886,40541
1979-07-30,4.497354,4.497354,4.401154,4.401154,2.325064,79522
1979-07-31,4.401154,4.449254,4.401154,4.449254,2.350476,69647
1979-08-01,4.449254,4.569505,4.449254,4.497354,2.375886,53534
1979-08-02,4.497354,4.569505,4.449254,4.569505,2.414004,98753
1979-08-03,4.569505,4.569505,4.497354,4.521405,2.388593,61331
1979-08-06,4.521405,4.569505,4.497354,4.521405,2.388593,40541
1979-08-07,4.521405,4.593555,4.521405,4.569505,2.414004,42620
1979-08-08,4.617605,4.761905,4.617605,4.689755,2.477528,78482
1979-08-09,4.689755,4.761905,4.641655,4.737855,2.502939,34823
