Date,Open,High,Low,Close,Adj Close,Volume
1990-02-08,1.447917,1.447917,1.416667,1.437500,0.964229,9012000
1990-02-09,1.458333,1.458333,1.427083,1.427083,0.957241,3483600
1990-02-12,1.427083,1.437500,1.395833,1.416667,0.950255,1982400
1990-02-13,1.416667,1.416667,1.406250,1.406250,0.943268,2212800
1990-02-14,1.416667,1.416667,1.395833,1.395833,0.936280,657600
1990-02-15,1.406250,1.406250,1.343750,1.364583,0.915319,1494000
1990-02-16,1.375000,1.375000,1.354167,1.364583,0.915319,638400
1990-02-20,1.364583,1.364583,1.333333,1.333333,0.894357,1190400
1990-02-21,1.343750,1.343750,1.333333,1.333333,0.894357,272400
1990-02-22,1.333333,1.354167,1.333333,1.354167,0.908332,38400
1990-02-23,1.333333,1.333333,1.291667,1.291667,0.866409,1143600
1990-02-26,1.302083,1.302083,1.281250,1.281250,0.859421,316800
1990-02-27,1.281250,1.291667,1.281250,1.291667,0.866409,325200
1990-02-28,1.291667,1.343750,1.291667,1.343750,0.901344,475200
1990-03-01,1.333333,1.364583,1.333333,1.364583,0.915319,428400
1990-03-02,1.354167,1.375000,1.354167,1.375000,0.922306,1364400
1990-03-05,1.364583,1.375000,1.354167,1.364583,0.915319,241200
1990-03-06,1.364583,1.385417,1.364583,1.385417,0.929294,430800
1990-03-07,1.395833,1.395833,1.375000,1.375000,0.922306,202800
1990-03-08,1.375000,1.375000,1.375000,1.375000,0.922306,793200
1990-03-09,1.364583,1.364583,1.333333,1.343750,0.901344,171600
1990-03-12,1.322917,1.322917,1.302083,1.302083,0.873396,1059600
1990-03-13,1.312500,1.333333,1.312500,1.333333,0.894357,90000
1990-03-14,1.333333,1.333333,1.322917,1.322917,0.887371,127200
1990-03-15,1.312500,1.333333,1.312500,1.322917,0.887371,571200
1990-03-16,1.322917,1.354167,1.322917,1.354167,0.908332,302400
1990-03-19,1.343750,1.354167,1.343750,1.354167,0.908332,14400
1990-03-20,1.354167,1.354167,1.322917,1.322917,0.887371,228000
1990-03-21,1.312500,1.312500,1.291667,1.291667,0.866409,328800
