Date,Open,High,Low,Close,Adj Close,Volume
2003-10-06,1.896250,1.986250,1.878750,1.973750,1.897417,3068800
2003-10-07,1.956250,2.075000,1.956250,2.031250,1.952693,3391200
2003-10-08,2.043750,2.043750,1.975000,2.012500,1.934668,3191200
2003-10-09,1.988750,2.012500,1.950000,1.950000,1.874585,1222400
2003-10-10,1.950000,1.992500,1.893750,1.927500,1.852955,2668000
2003-10-13,1.935000,1.935000,1.906250,1.913750,1.839737,1512000
2003-10-14,1.921250,2.081250,1.913750,2.037500,1.958701,2140000
2003-10-15,2.038750,2.115000,2.000000,2.001250,1.923853,784800
2003-10-16,2.017500,2.031250,2.000000,2.012500,1.934668,386400
2003-10-17,2.001250,2.007500,1.981250,1.981250,1.904627,1601600
2003-10-20,1.997500,2.002500,1.970000,1.993750,1.916643,1348000
2003-10-21,1.986250,1.997500,1.982500,1.993750,1.916643,884800
2003-10-22,2.000000,2.000000,1.975000,1.980000,1.903425,710400
2003-10-23,1.970000,1.970000,1.918750,1.937500,1.862569,918400
2003-10-24,1.932500,2.000000,1.932500,1.991250,1.914240,1616000
2003-10-27,2.000000,2.075000,1.968750,2.000000,1.922651,799200
2003-10-28,2.050000,2.075000,1.960000,1.978750,1.902223,1618400
2003-10-29,1.971250,2.027500,1.956250,2.012500,1.934668,1645600
2003-10-30,2.012500,2.117500,2.000000,2.080000,1.999557,1060000
2003-10-31,2.081250,2.163750,2.075000,2.162500,2.078866,1458400
2003-11-03,2.162500,2.233750,2.133750,2.188750,2.104102,762400
2003-11-04,2.213750,2.213750,2.125000,2.153750,2.070455,804000
2003-11-05,2.123750,2.131250,2.087500,2.125000,2.042817,64800
2003-11-06,2.122500,2.125000,2.082500,2.110000,2.028397,384000
2003-11-07,2.125000,2.125000,2.088750,2.125000,2.042817,218400
2003-11-10,2.085000,2.137500,2.085000,2.118750,2.036809,494400
2003-11-11,2.093750,2.125000,2.093750,2.125000,2.042817,916000
2003-11-12,2.100000,2.148750,2.087500,2.123750,2.041615,598400
2003-11-13,2.087500,2.125000,2.076250,2.077500,1.997154,120800
2003-11-14,2.076250,2.100000,2.076250,2.092500,2.011574,1995200
2003-11-17,2.093750,2.106250,2.050000,2.051250,1.971919,1855200
2003-11-18,2.051250,2.062500,2.037500,2.037500,1.958701,97600
2003-11-19,2.033750,2.080000,2.025000,2.062500,1.982734,354400
2003-11-20,2.062500,2.075000,2.031250,2.056250,1.976726,862400
2003-11-21,2.031250,2.075000,2.025000,2.075000,1.994751,199200
2003-11-24,2.075000,2.087500,2.050000,2.087500,2.006768,208000
2003-11-25,2.100000,2.150000,2.062500,2.093750,2.012776,309600
2003-11-26,2.110000,2.243750,2.087500,2.225000,2.138949,590400
2003-11-28,2.225000,2.231250,2.175000,2.212500,2.126933,41600
2003-12-01,2.237500,2.250000,2.187500,2.250000,2.162982,233600
2003-12-02,2.187500,2.250000,2.187500,2.206250,2.120925,300000
2003-12-03,2.226250,2.231250,2.188750,2.230000,2.143756,182400
2003-12-04,2.225000,2.246250,2.218750,2.246250,2.159378,1028800
2003-12-05,2.218750,2.275000,2.218750,2.220000,2.134143,403200
2003-12-08,2.243750,2.243750,2.112500,2.112500,2.030801,228000
2003-12-09,2.193750,2.193750,1.953750,2.006250,1.928660,550400
2003-12-10,2.007500,2.057500,2.000000,2.037500,1.958701,119200
2003-12-11,2.031250,2.142500,2.000000,2.112500,2.030801,249600
2003-12-12,2.148750,2.175000,2.098750,2.167500,2.083673,837600
2003-12-15,2.101250,2.212500,2.101250,2.156250,2.072859,245600
2003-12-16,2.157500,2.225000,2.157500,2.208750,2.123329,208000
2003-12-17,2.162500,2.261250,2.162500,2.250000,2.162982,199200
2003-12-18,2.256250,2.256250,2.227500,2.250000,2.162982,40800
2003-12-19,2.208750,2.250000,2.208750,2.250000,2.162982,520000
2003-12-22,2.188750,2.256250,2.188750,2.250000,2.162982,76800
2003-12-23,2.250000,2.281250,2.245000,2.280000,2.191823,197600
2003-12-24,2.287500,2.287500,2.245000,2.281250,2.193024,73600
2003-12-26,2.275000,2.281250,2.275000,2.281250,2.193024,3200
2003-12-29,2.243750,2.286250,2.243750,2.281250,2.193024,222400
2003-12-30,2.246250,2.312500,2.235000,2.235000,2.148563,602400
2003-12-31,2.251250,2.268750,2.216250,2.243750,2.156975,360000
2004-01-02,2.213750,2.250000,2.203750,2.215000,2.129337,138400
2004-01-05,2.268750,2.268750,2.200000,2.220000,2.134143,204000
2004-01-06,2.190000,2.281250,2.190000,2.220000,2.134143,244800
2004-01-07,2.250000,2.250000,2.225000,2.243750,2.156975,1112000
2004-01-08,2.225000,2.246250,2.175000,2.241250,2.154571,1521600
2004-01-09,2.250000,2.256250,2.233750,2.241250,2.154571,216800
2004-01-12,2.206250,2.250000,2.202500,2.237500,2.150966,1169600
2004-01-13,2.175000,2.243750,2.163750,2.206250,2.120925,859200
2004-01-14,2.226250,2.236250,2.187500,2.206250,2.120925,1736800
2004-01-15,2.230000,2.263750,2.212500,2.263750,2.176201,144000
2004-01-16,2.263750,2.311250,2.241250,2.297500,2.208646,255200
2004-01-20,2.276250,2.355000,2.272500,2.355000,2.263922,292000
2004-01-21,2.367500,2.553750,2.267500,2.472500,2.376878,244000
2004-01-22,2.475000,2.475000,2.430000,2.468750,2.373273,159200
2004-01-23,2.475000,2.487500,2.392500,2.448750,2.354047,515200
2004-01-26,2.460000,2.500000,2.440000,2.457500,2.362458,1143200
2004-01-27,2.487500,2.487500,2.306250,2.377500,2.285552,233600
2004-01-28,2.406250,2.406250,2.360000,2.375000,2.283149,429600
2004-01-29,2.373750,2.378750,2.337500,2.340000,2.249502,172000
2004-01-30,2.350000,2.350000,2.296250,2.335000,2.244696,285600
2004-02-02,2.343750,2.343750,2.312500,2.343750,2.253107,482400
2004-02-03,2.343750,2.343750,2.287500,2.298750,2.209847,475200
2004-02-04,2.341250,2.343750,2.236250,2.261250,2.173798,988800
2004-02-05,2.300000,2.301250,2.237500,2.237500,2.150966,391200
2004-02-06,2.236250,2.248750,2.125000,2.137500,2.054834,1800000
2004-02-09,2.198750,2.223750,2.158750,2.175000,2.090883,797600
2004-02-10,2.218750,2.250000,2.187500,2.236250,2.149764,271200
2004-02-11,2.187500,2.241250,2.187500,2.211250,2.125732,132000
2004-02-12,2.193750,2.246250,2.187500,2.233750,2.147361,270400
2004-02-13,2.233750,2.246250,2.200000,2.242500,2.155773,120000
2004-02-17,2.200000,2.240000,2.200000,2.200000,2.114917,81600
2004-02-18,2.237500,2.238750,2.206250,2.237500,2.150966,88000
2004-02-19,2.237500,2.237500,2.198750,2.201250,2.116118,636000
2004-02-20,2.175000,2.250000,2.175000,2.212500,2.126933,174400
2004-02-23,2.187500,2.225000,2.162500,2.188750,2.104102,848800
2004-02-24,2.203750,2.203750,2.168750,2.203750,2.118522,112000
2004-02-25,2.193750,2.503750,2.193750,2.481250,2.385289,397600
2004-02-26,2.487500,2.487500,2.315000,2.382500,2.290359,333600
2004-02-27,2.375000,2.428750,2.323750,2.350000,2.259115,863200
2004-03-01,2.325000,2.390000,2.298750,2.298750,2.209847,327200
2004-03-02,2.368750,2.375000,2.243750,2.243750,2.156975,242400
2004-03-03,2.241250,2.312500,2.237500,2.282500,2.194226,296800
2004-03-04,2.312500,2.312500,2.281250,2.311250,2.221864,132800
2004-03-05,2.300000,2.312500,2.295000,2.295000,2.206242,438400
2004-03-08,2.306250,2.306250,2.262500,2.286250,2.197831,132000
2004-03-09,2.300000,2.300000,2.278750,2.287500,2.199032,612800
2004-03-10,2.275000,2.287500,2.225000,2.287500,2.199032,27200
2004-03-11,2.292500,2.293750,2.245000,2.287500,2.199032,146400
2004-03-12,2.293750,2.293750,2.250000,2.280000,2.191823,37600
2004-03-15,2.252500,2.280000,2.187500,2.196250,2.111312,295200
2004-03-16,2.231250,2.250000,2.156250,2.156250,2.072859,416800
2004-03-17,2.160000,2.238750,2.158750,2.192500,2.107707,495200
2004-03-18,2.156250,2.182500,2.133750,2.161250,2.077665,401600
2004-03-19,2.137500,2.137500,2.100000,2.118750,2.036809,103200
2004-03-22,2.097500,2.107500,2.050000,2.101250,2.019986,887200
2004-03-23,2.106250,2.137500,2.087500,2.121250,2.039212,876800
2004-03-24,2.068750,2.175000,2.068750,2.148750,2.065649,708800
2004-03-25,2.181250,2.181250,2.108750,2.155000,2.071657,228000
2004-03-26,2.138750,2.170000,2.058750,2.065000,1.985137,2520000
2004-03-29,2.050000,2.085000,2.035000,2.063750,1.983936,526400
2004-03-30,2.035000,2.150000,2.025000,2.125000,2.042817,1917600
2004-03-31,2.125000,2.187500,2.100000,2.187500,2.102900,2280800
2004-04-01,2.187500,2.246250,2.158750,2.200000,2.114917,642400
2004-04-02,2.227500,2.237500,2.208750,2.218750,2.132941,162400
2004-04-05,2.248750,2.248750,2.200000,2.225000,2.138949,196800
2004-04-06,2.200000,2.217500,2.183750,2.215000,2.129337,564800
2004-04-07,2.212500,2.243750,2.188750,2.231250,2.144958,492800
2004-04-08,2.231250,2.250000,2.217500,2.225000,2.138949,544800
2004-04-12,2.217500,2.232500,2.150000,2.218750,2.132941,982400
2004-04-13,2.218750,2.243750,2.200000,2.227500,2.141353,402400
2004-04-14,2.227500,2.250000,2.213750,2.250000,2.162982,630400
2004-04-15,2.248750,2.250000,2.227500,2.250000,2.162982,148000
2004-04-16,2.227500,2.250000,2.225000,2.250000,2.162982,260000
2004-04-19,2.210000,2.312500,2.210000,2.308750,2.219460,432000
2004-04-20,2.308750,2.312500,2.265000,2.312500,2.223066,201600
2004-04-21,2.312500,2.312500,2.270000,2.285000,2.196629,114400
2004-04-22,2.273750,2.273750,2.238750,2.266250,2.178604,186400
2004-04-23,2.257500,2.263750,2.158750,2.250000,2.162982,279200
2004-04-26,2.217500,2.250000,2.186250,2.250000,2.162982,178400
2004-04-27,2.248750,2.250000,2.175000,2.223750,2.137748,76800
2004-04-28,2.176250,2.237500,2.175000,2.237500,2.150966,126400
2004-04-29,2.237500,2.258750,2.176250,2.176250,2.092085,505600
2004-04-30,2.185000,2.226250,2.115000,2.220000,2.134143,525600
2004-05-03,2.198750,2.250000,2.173750,2.250000,2.162982,116000
2004-05-04,2.218750,2.233750,2.193750,2.218750,2.132941,597600
2004-05-05,2.250000,2.287500,2.212500,2.247500,2.160579,555200
2004-05-06,2.247500,2.262500,2.208750,2.225000,2.138949,1284800
2004-05-07,2.255000,2.281250,2.218750,2.273750,2.185814,1226400
2004-05-10,2.250000,2.268750,2.225000,2.263750,2.176201,1436000
2004-05-11,2.230000,2.281250,2.230000,2.281250,2.193024,1440000
2004-05-12,2.238750,2.275000,2.235000,2.268750,2.181008,902400
2004-05-13,2.237500,2.280000,2.237500,2.270000,2.182209,1196000
2004-05-14,2.267500,2.281250,2.253750,2.265000,2.177403,137600
2004-05-17,2.237500,2.258750,2.237500,2.248750,2.161781,89600
2004-05-18,2.260000,2.262500,2.233750,2.250000,2.162982,144800
2004-05-19,2.237500,2.250000,2.237500,2.240000,2.153370,205600
2004-05-20,2.241250,2.262500,2.218750,2.218750,2.132941,1951200
2004-05-21,2.262500,2.262500,2.201250,2.217500,2.131740,158400
2004-05-24,2.217500,2.251250,2.200000,2.231250,2.144958,256800
2004-05-25,2.250000,2.250000,2.226250,2.248750,2.161781,156800
2004-05-26,2.231250,2.275000,2.231250,2.275000,2.187016,666400
2004-05-27,2.275000,2.281250,2.255000,2.281250,2.193024,194400
2004-05-28,2.281250,2.387500,2.278750,2.312500,2.223066,753600
2004-06-01,2.362500,2.362500,2.276250,2.321250,2.231477,158400
2004-06-02,2.285000,2.326250,2.265000,2.315000,2.225469,211200
2004-06-03,2.296250,2.318750,2.268750,2.308750,2.219460,304800
2004-06-04,2.317500,2.325000,2.281250,2.325000,2.235082,110400
2004-06-07,2.325000,2.331250,2.265000,2.331250,2.241091,465600
2004-06-08,2.263750,2.342500,2.263750,2.336250,2.245897,482400
2004-06-09,2.337500,2.360000,2.281250,2.311250,2.221864,1204800
2004-06-10,2.320000,2.320000,2.276250,2.303750,2.214654,330400
2004-06-14,2.312500,2.312500,2.250000,2.312500,2.223066,188000
2004-06-15,2.276250,2.312500,2.276250,2.312500,2.223066,395200
2004-06-16,2.312500,2.318750,2.306250,2.312500,2.223066,953600
2004-06-17,2.275000,2.323750,2.275000,2.323750,2.233881,1493600
2004-06-18,2.312500,2.326250,2.312500,2.322500,2.232679,337600
2004-06-21,2.317500,2.318750,2.300000,2.311250,2.221864,238400
2004-06-22,2.322500,2.456250,2.321250,2.440000,2.345635,1612800
2004-06-23,2.375000,2.521250,2.375000,2.521250,2.423743,1256800
2004-06-24,2.525000,2.525000,2.423750,2.482500,2.386491,1101600
2004-06-25,2.453750,2.500000,2.150000,2.456250,2.361256,7465600
2004-06-28,2.471250,2.487500,2.406250,2.406250,2.313190,547200
2004-06-29,2.453750,2.455000,2.398750,2.418750,2.325207,881600
2004-06-30,2.425000,2.425000,2.315000,2.325000,2.235082,484000
2004-07-01,2.362500,2.362500,2.217500,2.262500,2.175000,664800
2004-07-02,2.285000,2.311250,2.257500,2.298750,2.209847,256000
2004-07-06,2.325000,2.391250,2.312500,2.362500,2.271132,1627200
2004-07-07,2.343750,2.375000,2.343750,2.371250,2.279543,515200
2004-07-08,2.343750,2.382500,2.343750,2.382500,2.290359,607200
2004-07-09,2.353750,2.357500,2.275000,2.301250,2.212251,244800
2004-07-12,2.281250,2.337500,2.281250,2.336250,2.245897,299200
2004-07-13,2.321250,2.350000,2.302500,2.336250,2.245897,662400
2004-07-14,2.301250,2.313750,2.281250,2.281250,2.193024,498400
2004-07-15,2.277500,2.332500,2.271250,2.296250,2.207444,722400
2004-07-16,2.286250,2.293750,2.265000,2.266250,2.178604,328800
2004-07-19,2.268750,2.313750,2.268750,2.297500,2.208646,192000
2004-07-20,2.312500,2.315000,2.266250,2.312500,2.223066,1772800
2004-07-21,2.337500,2.337500,2.187500,2.262500,2.175000,1550400
2004-07-22,2.246250,2.275000,2.212500,2.243750,2.156975,968000
2004-07-23,2.216250,2.231250,2.062500,2.130000,2.047624,1681600
2004-07-26,2.125000,2.141250,2.106250,2.125000,2.042817,531200
2004-07-27,2.126250,2.153750,2.095000,2.135000,2.052430,488800
2004-07-28,2.125000,2.150000,2.125000,2.137500,2.054834,363200
2004-07-29,2.132500,2.150000,2.068750,2.150000,2.066851,1346400
2004-07-30,2.127500,2.228750,2.125000,2.221250,2.135345,2440800
2004-08-02,2.170000,2.202500,2.120000,2.191250,2.106505,663200
2004-08-03,2.163750,2.172500,2.116250,2.127500,2.045221,384800
2004-08-04,2.125000,2.276250,2.121250,2.241250,2.154571,425600
2004-08-05,2.193750,2.240000,2.093750,2.200000,2.114917,586400
2004-08-06,2.093750,2.265000,2.087500,2.137500,2.054834,412800
2004-08-09,2.158750,2.160000,2.086250,2.145000,2.062043,654400
2004-08-10,2.120000,2.237500,2.120000,2.237500,2.150966,799200
2004-08-11,2.220000,2.271250,2.130000,2.251250,2.164185,1952000
2004-08-12,2.223750,2.282500,2.173750,2.186250,2.101698,384000
2004-08-13,2.275000,2.287500,2.175000,2.211250,2.125732,205600
2004-08-16,2.287500,2.326250,2.196250,2.280000,2.191823,906400
2004-08-17,2.312500,2.312500,2.206250,2.261250,2.173798,435200
2004-08-18,2.175000,2.286250,2.120000,2.286250,2.197831,318400
2004-08-19,2.215000,2.288750,2.197500,2.250000,2.162982,116000
2004-08-20,2.263750,2.355000,2.226250,2.338750,2.248301,193600
2004-08-23,2.351250,2.367500,2.282500,2.291250,2.202638,174400
2004-08-24,2.343750,2.343750,2.252500,2.283750,2.195427,162400
2004-08-25,2.256250,2.282500,2.226250,2.281250,2.193024,159200
2004-08-26,2.250000,2.297500,2.250000,2.267500,2.179806,163200
2004-08-27,2.230000,2.281250,2.230000,2.236250,2.149764,75200
2004-08-30,2.232500,2.268750,2.222500,2.223750,2.137748,75200
2004-08-31,2.250000,2.280000,2.180000,2.280000,2.191823,168000
2004-09-01,2.250000,2.375000,2.202500,2.213750,2.128135,636000
2004-09-02,2.252500,2.262500,2.175000,2.241250,2.154571,168000
2004-09-03,2.282500,2.282500,2.177500,2.215000,2.129337,584000
2004-09-07,2.200000,2.262500,2.200000,2.248750,2.161781,778400
2004-09-08,2.248750,2.312500,2.200000,2.230000,2.143756,224800
2004-09-09,2.248750,2.306250,2.236250,2.306250,2.217057,139200
2004-09-10,2.207500,2.292500,2.206250,2.250000,2.162982,236800
2004-09-13,2.265000,2.295000,2.243750,2.255000,2.167790,110400
2004-09-14,2.227500,2.261250,2.227500,2.240000,2.153370,140800
2004-09-15,2.243750,2.262500,2.237500,2.262500,2.175000,125600
2004-09-16,2.312500,2.333750,2.263750,2.312500,2.223066,196800
2004-09-17,2.283750,2.296250,2.187500,2.212500,2.126933,861600
2004-09-20,2.195000,2.250000,2.190000,2.215000,2.129337,75200
2004-09-21,2.281250,2.298750,2.212500,2.266250,2.178604,96000
2004-09-22,2.213750,2.237500,2.200000,2.218750,2.132941,312800
2004-09-23,2.218750,2.246250,2.193750,2.197500,2.112514,92800
2004-09-24,2.202500,2.315000,2.200000,2.227500,2.141353,221600
2004-09-27,2.202500,2.218750,2.200000,2.201250,2.116118,220000
2004-09-28,2.218750,2.275000,2.200000,2.275000,2.187016,100000
2004-09-29,2.230000,2.310000,2.230000,2.291250,2.202638,82400
2004-09-30,2.291250,2.306250,2.251250,2.283750,2.195427,144800
2004-10-01,2.306250,2.368750,2.267500,2.368750,2.277140,382400
2004-10-04,2.381250,2.381250,2.213750,2.250000,2.162982,458400
2004-10-05,2.325000,2.325000,2.238750,2.276250,2.188217,1280000
2004-10-06,2.308750,2.308750,2.250000,2.268750,2.181008,116800
2004-10-07,2.242500,2.298750,2.230000,2.252500,2.165386,301600
2004-10-08,2.252500,2.252500,2.212500,2.215000,2.129337,172000
2004-10-11,2.217500,2.240000,2.197500,2.213750,2.128135,464000
2004-10-12,2.228750,2.228750,2.172500,2.190000,2.105303,294400
2004-10-13,2.252500,2.255000,2.166250,2.187500,2.102900,152000
2004-10-14,2.166250,2.175000,2.142500,2.157500,2.074060,141600
2004-10-15,2.100000,2.100000,1.816250,1.877500,1.804889,5864000
2004-10-18,1.866250,1.866250,1.727500,1.830000,1.759226,1537600
2004-10-19,1.862500,1.882500,1.838750,1.856250,1.784461,566400
2004-10-20,1.827500,1.887500,1.807500,1.836250,1.765234,3731200
2004-10-21,1.813750,1.838750,1.783750,1.796250,1.726781,423200
2004-10-22,1.801250,1.801250,1.733750,1.750000,1.682320,664800
2004-10-25,1.726250,1.733750,1.660000,1.693750,1.628245,2257600
2004-10-26,1.687500,1.715000,1.686250,1.698750,1.633052,617600
2004-10-27,1.723750,1.726250,1.690000,1.700000,1.634254,1344000
2004-10-28,1.716250,1.937500,1.715000,1.902500,1.828922,3040000
2004-10-29,2.025000,2.056250,1.948750,2.046250,1.967113,660000
2004-11-01,2.062500,2.062500,1.948750,1.962500,1.886602,288000
2004-11-02,1.951250,1.992500,1.922500,1.947500,1.872182,700800
2004-11-03,2.000000,2.027500,1.875000,1.918750,1.844544,911200
2004-11-04,1.912500,2.000000,1.875000,1.963750,1.887803,1023200
2004-11-05,1.961250,2.138750,1.956250,2.115000,2.033204,467200
2004-11-08,2.138750,2.146250,2.001250,2.115000,2.033204,640800
2004-11-09,2.156250,2.277500,2.105000,2.231250,2.144958,988800
2004-11-10,2.247500,2.262500,2.180000,2.218750,2.132941,696000
2004-11-11,2.196250,2.202500,2.126250,2.196250,2.111312,568000
2004-11-12,2.237500,2.250000,2.147500,2.250000,2.162982,483200
2004-11-15,2.258750,2.258750,2.191250,2.230000,2.143756,398400
2004-11-16,2.190000,2.216250,2.143750,2.143750,2.060842,122400
2004-11-17,2.217500,2.217500,2.125000,2.125000,2.042817,650400
2004-11-18,2.192500,2.192500,2.121250,2.168750,2.084875,229600
2004-11-19,2.185000,2.206250,2.106250,2.143750,2.060842,315200
2004-11-22,2.161250,2.200000,2.133750,2.185000,2.100497,396800
2004-11-23,2.203750,2.212500,2.175000,2.206250,2.120925,1263200
2004-11-24,2.208750,2.218750,2.193750,2.211250,2.125732,1566400
2004-11-26,2.220000,2.228750,2.187500,2.218750,2.132941,92800
2004-11-29,2.187500,2.250000,2.187500,2.222500,2.136547,436800
2004-11-30,2.247500,2.247500,2.162500,2.242500,2.155773,577600
2004-12-01,2.246250,2.333750,2.236250,2.333750,2.243494,3266400
2004-12-02,2.342500,2.361250,2.320000,2.346250,2.255510,451200
2004-12-03,2.352500,2.352500,2.242500,2.270000,2.182209,356800
2004-12-06,2.237500,2.347500,2.237500,2.347500,2.256712,944800
2004-12-07,2.341250,2.375000,2.287500,2.348750,2.257914,889600
2004-12-08,2.370000,2.405000,2.345000,2.405000,2.311988,880000
2004-12-09,2.362500,2.425000,2.362500,2.422500,2.328811,513600
2004-12-10,2.426250,2.437500,2.366250,2.437500,2.343231,487200
2004-12-13,2.437500,2.493750,2.416250,2.493750,2.397306,340800
2004-12-14,2.426250,2.615000,2.426250,2.530000,2.432154,1430400
2004-12-15,2.550000,2.558750,2.510000,2.521250,2.423743,354400
2004-12-16,2.523750,2.523750,2.440000,2.477500,2.381685,398400
2004-12-17,2.440000,2.521250,2.425000,2.505000,2.408121,799200
2004-12-20,2.500000,2.521250,2.425000,2.457500,2.362458,847200
2004-12-21,2.486250,2.502500,2.445000,2.497500,2.400911,652000
2004-12-22,2.437500,2.501250,2.437500,2.500000,2.403314,303200
2004-12-23,2.500000,2.500000,2.461250,2.495000,2.398507,336800
2004-12-27,2.513750,2.513750,2.420000,2.462500,2.367265,344000
2004-12-28,2.462500,2.512500,2.447500,2.512500,2.415331,478400
2004-12-29,2.437500,2.508750,2.437500,2.506250,2.409322,125600
2004-12-30,2.500000,2.500000,2.480000,2.500000,2.403314,175200
2004-12-31,2.463750,2.512500,2.445000,2.508750,2.411726,340000
2005-01-03,2.512500,2.512500,2.428750,2.475000,2.379281,422400
2005-01-04,2.512500,2.512500,2.360000,2.375000,2.283149,738400
2005-01-05,2.350000,2.375000,2.247500,2.268750,2.181008,810400
2005-01-06,2.312500,2.312500,2.253750,2.263750,2.176201,288800
2005-01-07,2.325000,2.325000,2.271250,2.273750,2.185814,549600
2005-01-10,2.262500,2.268750,2.247500,2.251250,2.164185,161600
2005-01-11,2.300000,2.300000,2.208750,2.208750,2.123329,538400
2005-01-12,2.208750,2.293750,2.193750,2.218750,2.132941,425600
2005-01-13,2.280000,2.280000,2.163750,2.165000,2.081270,176800
2005-01-14,2.162500,2.256250,2.162500,2.253750,2.166588,645600
2005-01-18,2.250000,2.287500,2.250000,2.258750,2.171395,264000
2005-01-19,2.286250,2.286250,2.207500,2.233750,2.147361,167200
2005-01-20,2.202500,2.250000,2.171250,2.172500,2.088480,772000
2005-01-21,2.187500,2.187500,2.118750,2.131250,2.048826,520000
2005-01-24,2.111250,2.138750,2.087500,2.088750,2.007969,453600
2005-01-25,2.125000,2.125000,2.075000,2.085000,2.004364,222400
2005-01-26,2.115000,2.115000,2.090000,2.100000,2.018784,242400
2005-01-27,2.075000,2.113750,2.075000,2.105000,2.023591,884000
2005-01-28,2.093750,2.102500,2.062500,2.087500,2.006768,287200
2005-01-31,2.068750,2.112500,2.068750,2.091250,2.010372,694400
