Date,Dividends
1998-09-17,0.195000
1998-12-17,0.195000
1999-03-17,0.195000
1999-06-17,0.195000
1999-09-16,0.195000
1999-12-17,0.195000
2000-03-16,0.125000
2000-06-19,0.125000
2000-09-18,0.125000
2000-12-19,0.125000
2001-03-16,0.125000
2001-06-19,0.125000
2001-09-18,0.125000
2001-12-19,0.125000
2002-03-18,0.125000
2002-06-19,0.125000
2002-09-18,0.125000
2002-12-19,0.125000
2003-03-18,0.125000
2003-06-19,0.125000
2003-09-19,0.125000
2003-12-19,0.125000
2004-03-18,0.125000
2004-06-21,0.125000
2004-09-27,0.125000
2004-12-20,0.125000
2005-03-22,0.145000
2005-06-21,0.145000
2005-09-27,0.145000
2005-12-20,0.145000
2006-03-21,0.150000
2006-06-20,0.150000
2006-09-06,1.237500
2006-09-26,0.150000
2006-12-19,0.150000
2007-03-20,0.155000
2007-06-19,0.155000
2007-09-25,0.155000
2007-12-18,0.155000
2008-03-18,0.160000
2008-06-17,0.175000
2008-09-23,0.175000
2008-12-19,0.175000
2009-03-17,0.195000
2009-06-17,0.195000
2009-09-22,0.195000
2009-12-28,0.195000
2010-03-16,0.195000
2010-06-16,0.195000
2010-09-27,0.195000
2010-12-21,0.195000
2011-03-16,0.240000
2011-06-22,0.240000
2011-09-27,0.240000
2011-12-20,0.240000
2012-03-22,0.300000
2012-06-25,0.300000
2012-09-26,0.300000
2012-12-26,0.300000
2013-03-26,0.315000
2013-06-26,0.315000
2013-09-25,0.315000
2013-12-27,0.315000
2014-03-25,0.330000
2014-06-27,0.330000
2014-09-23,0.330000
2014-12-18,0.330000
2015-03-25,0.350000
2015-06-25,0.350000
2015-09-23,0.350000
2015-12-23,0.350000
2016-03-22,0.377500
2016-06-28,0.377500
2016-09-27,0.377500
2016-12-27,0.377500
2017-03-21,0.411500
2017-07-05,0.411500
2017-09-21,0.411500
2017-12-28,0.411500
2018-03-22,0.447500
2018-06-29,0.447500
2018-09-20,0.447500
2018-12-28,0.447500
2019-03-21,0.484000
2019-07-03,0.484000
2019-09-19,0.484000
2019-12-27,0.484000
2020-03-19,0.522500
2020-06-25,0.522500
2020-09-24,0.522500
2020-12-17,0.522500
2021-03-24,0.550000
2021-07-06,0.550000
2021-09-23,0.550000
2021-12-22,0.550000
2022-03-24,0.572500
2022-07-06,0.572500
2022-09-22,0.572500
2022-12-21,0.572500
2023-03-21,0.595000
2023-07-03,0.595000
2023-09-26,0.595000
